Apelido,Username,Data/Hora,Respondendo,Texto,link_img,Comentarios,Retweets,Likes
O Antagonista,@o_antagonista,2021-01-25T23:48:40.000Z,"Assessor de Bolsonaro chama Doria de 'corno', e Fábio Faria endossa.","Assessor de Bolsonaro chama Doria de 'corno', e Fábio Faria endossa - O Antagonista
Filipe Martins, o assessor internacional de Jair Bolsonaro, chamou João Doria de ""corno"" no Twitter ao comentar os esforços do governo paulista para liberar insumos da China visando à produção da...
oantagonista.com",https://pbs.twimg.com/card_img/1359453655091544064/n3_VShvu?format=jpg&name=small,2600,537,2900
Felipe Daiko,@FelipeDaiko,2021-01-25T23:56:47.000Z,"Agora esse Sanitarista também está devidamente vacinado 
Ainda não fiquei verde, mas mantenho a fé na Cuca, que a Cuca vem. 

Muita Saúde Pública para nós! E viva o SUS 
#sus #vacina #saudepublica",,https://pbs.twimg.com/media/EsnbWj6WMAEQnWm?format=jpg&name=360x360,3,0,14
Camilla Lima,@camillalima_rj,2021-01-25T23:56:48.000Z,"É real migos!!! Minha tia, enfermeira aqui do Rio, tomando vacina! 
 que venham mais doses pra gente se abraçar logo! Enquanto isso segurem mais um pouco ",,https://pbs.twimg.com/media/EsnbXi9WMAAM5Xv?format=jpg&name=small,0,0,6
SIC Notícias,@SICNoticias,2021-01-25T23:51:05.000Z,Covid-19. Israel regista quebra de 60% no número de internados um mês após início da vacinação,"Covid-19. Israel regista quebra de 60% no número de internados um mês após início da vacinação 
Estudo clínico em Israel aponta para um grau de eficácia da vacina da Pfizer superior ao previsto.
sicnoticias.pt",https://pbs.twimg.com/card_img/1361483770373824512/NvVmIm56?format=jpg&name=240x240,1,7,27
"GUERRERO - ENFIM, FÉRIAS!",@prissguerrero1,2021-01-25T23:57:34.000Z,"brasileiros tomem vacina, Veja, tome no cy.","Comentar o Tweet
VEJA
@VEJA
 · 25 de jan
Brasileiros devem tomar CoronaVac ou esperar uma de eficácia maior? #DiárioDaVacina https://veja.abril.com.br/blog/diario-da-vacina/brasileiros-devem-tomar-coronavac-ou-esperar-uma-de-eficacia-maior/…",https://pbs.twimg.com/profile_images/1271506387860946945/7XBj9w3T_mini.jpg,2,9,36
Maurício Araujo,@MaurcioAraujo14,2021-01-25T23:55:28.000Z,"É mesmo olha ..
Os caras outro dia estavam atacando a vacina e a China e agora querem o protagonismo. 
Bizarro ISSO..",,https://pbs.twimg.com/ext_tw_video_thumb/1353853748980965382/pu/img/iOwqInHp290hUU6l.jpg,0,3,11
roaraz,@roaraz,2021-01-25T23:54:04.000Z,Vem jacaré ,GIF,https://pbs.twimg.com/tweet_video_thumb/Esnaux3XMAA0g7y.jpg,2,0,6
Maurício Araujo,@MaurcioAraujo14,2021-01-25T23:51:54.000Z,"E agora tem o Deus vultinho, cavaleiro olavete chamando governador de corno e festejando boas relações com a China comunista, pra pegar insumos de uma vacina que outro dia tava atacando. ",,https://pbs.twimg.com/media/EsnaP6CXIAE3i11?format=jpg&name=900x900,2,3,16
Principe de Wakanda,@CarlimDeixarder,2021-01-25T23:52:36.000Z,"CONTE ALGO SOBRE VOCÊ QUE POUCA GENTE SABE

- já fui chamado pra ser modelo enquanto tava na fila de uma festa, e n me lembrava no outro dia até me ligarem 
- quando era kid comi sabonete pq achei gostoso e não recomendo
- já precisei de 6 pessoas me segurando pra tomar vacina","Comentar o Tweet
Tammy
prontinha pra virar jacaré
@tammynhoca
 · 25 de jan
CONTE ALGO SOBRE VOCÊ QUE POUCA GENTE SABE

- já namorei um mágico
- já editei/revisei texto de hentai
- já tive que fazer xixi na rua em Londres com 6 graus de temperatura
- fui intimada por um fiscal húngaro porque pulei a catraca do metrô em Budapeste twitter.com/pistolinah/sta…",https://pbs.twimg.com/profile_images/1301172221721956352/UK9Tydji_mini.jpg,2,0,4
UJC Brasil,@ujcbr,2021-01-25T23:53:20.000Z,"Em resposta a 
@ujcbr",o aumento da carestia de vida e as constantes ameaças do imperialismo aos povos do planeta.”,https://abs-0.twimg.com/emoji/v2/72x72/1f447-1f3fe.png,1,0,9
UJC Brasil,@ujcbr,2021-01-25T23:53:52.000Z," Leia na íntegra a Nota Política do Comitê Central (CC) do Partido Comunista Brasileiro (PCB - 
@PCBpartidao
) 
 https://pcb.org.br/portal2/26764/organizar-a-luta-popular-contra-os-ataques-do-governo-e-dos-capitalistas/…

FORA BOLSONARO E MOURÃO!
VACINA PARA TODAS E TODOS JÁ!
PELA CONSTRUÇÃO DO PODER POPULAR NO RUMO DO SOCIALISMO!","Organizar a luta popular contra os ataques do Governo e dos capitalistas
Foto: PCB da Bahia Nota Política do Partido Comunista Brasileiro - PCB 2021 se apresenta como um ano em que se prevê o acirramento da luta de classes no Brasil e no mundo, em decorrência do aprofun...
pcb.org.br",https://pbs.twimg.com/card_img/1360826519162150917/eP9VtVZn?format=png&name=small,0,0,9
RFA,@rafaelaugustto_,2021-01-25T23:57:58.000Z,"O Verme espalhando q estava em negociação com a China pra compra da vacina e os chineses responderam com um “NA NA NI NA NÃO KERIDA! Foi o Doria” KKKKKKKKKK. Vexame toooodo dia né 
@jairbolsonaro
 ",,https://pbs.twimg.com/media/Esnbod4W4AE_7Ff?format=jpg&name=small,0,0,9
Drik Barbosa,@drikbarbosa,2021-01-25T23:58:12.000Z,Aiiii! Vem vacina logo pra gente se abraçar mais ,"Comentar o Tweet
gabi
@riosgabbi
 · 25 de jan
hoje faz um ano da última vez que dei um abraço na @drikbarbosa, UM ANO 
Mostrar esta sequência",https://pbs.twimg.com/profile_images/1331057684272066560/PCqE0AET_mini.jpg,1,0,19
Stephanie Negri ★彡,@stephanie_ndp,2021-01-25T23:58:11.000Z,"Cuzona!

Enfermeira que ironizou CoronaVac é demitida de hospital no Espírito Santo","Enfermeira que ironizou CoronaVac é demitida de hospital no Espírito Santo
A enfermeira Nathanna Faria Ceschim foi demitida da Santa Casa de Misericórdia de Vitória ...
noticias.uol.com.br",https://pbs.twimg.com/card_img/1359878348223184896/fmdYrd6e?format=jpg&name=360x360,0,0,3
Debinha Bolsonaro 2026. pode chorar,@Debinha51902436,2021-01-26T23:55:02.000Z,"https://twitter.com/LucianaACBarros/status/1354101366915006471?s=08… O MÉDICO DISSE QUE CLOROQUINA CURA! Esse eu confio mas, vacina feita em 10 meses e quem faz é a China que trouxe a praga p cá NÃO!    #JornalDaRecord","Comentar o Tweet
Luciana Barros
@LucianaACBarros
 · 26 de jan
Feliz da cidade q tem um prefeito como o Prefeito da Cidade de Porto Feliz/SP. Que Deus o abençoe infinitamente.
Mostrar esta sequência",https://pbs.twimg.com/profile_images/1348301493531783171/jEAuiYZ5_mini.jpg,0,3,3
ana justi,@_anajusti,2021-01-26T23:53:02.000Z,refletindo aqui que se não fosse o coronga era pra eu casar esse ano,"Comentar o Tweet
franci
@francifsc
 · 26 de jan
@_anajusti dois anos de noivadooo ",https://pbs.twimg.com/profile_images/1033003413104152577/1omarbsR_mini.jpg,3,0,9
Beth Mafra.#BolsonaroTemRazao#JustiçaParaEustaquio,,2021-01-26T23:54:37.000Z,"Assim é como a elite se vacina diante das câmeras:

A agulha vai para dentro da seringa. Há um tubo com uma mola, de modo que faz a agulha surgir de novo. Você põe líquido na seringa, e vai subir para a alça do êmbolo. Não dói nem um pouco.",,https://pbs.twimg.com/ext_tw_video_thumb/1354216047713394691/pu/img/F9aMB8-iWFY3XI8T.jpg,0,8,10
Anna Lídia Di Nápoli,@anninhalidia,2021-01-26T23:53:28.000Z,"Lua em câncer e eu chorando, ao assistir à regravação do funk #Butantan 
Penso em tudo que envolve essa vacina: nas vítimas, na humanidade e no fato de ser brasileira.","MC Fioti - Vacina Butantan - Remix Bum Bum Tam Tam (KondZilla)
OUÇA NOSSOS HITS:https://kondzilla.lnk.to/MaisTocadasdYhttps://kondzilla.lnk.to/LancamentosKondZillaDYSHOWS:(11) 2385-0126KondZilla RecordsLETRA:É a vacina e...
youtube.com",https://pbs.twimg.com/card_img/1360552872686063616/VBUaz8rb?format=jpg&name=240x240,0,0,4
Caco Brasil,@CacoBrasil2,2021-01-26T23:56:02.000Z,""" Não tem vacina, dê leite Moça """,,https://pbs.twimg.com/media/EsskxuyXIAE0F9j?format=jpg&name=small,0,6,13
Sebastião Maciel,@tiao_maciel,2021-01-26T23:55:11.000Z,Bolsonaro mentiu ao dizer que compraria toda vacina aprovada pela Anvisa,"Bolsonaro mentiu ao dizer que compraria toda vacina aprovada pela Anvisa
Em duas ocasiões em 2020, o presidente descartou a CoronaVac, que chamava de 'vacina chinesa' e de 'vacina do Doria:
em.com.br",https://pbs.twimg.com/card_img/1361972143370682368/BgXESnMs?format=jpg&name=small,0,2,3
João Veiga,@joaoaveiga,2021-01-26T23:59:17.000Z,O problem da amplificação nas redes sociais. Ainda hoje no trabalho me disseram mais uma variante da história da polícia que manda sair alguém de um supermercado e saem N pessoas. Confirmem *sempre* as histórias. Mesmo que sejam familiares a contar.,"Comentar o Tweet
VOST Portugal
@VOSTPT
 · 26 de jan
ESCLARECIMENTO
No passado domingo, 24JAN2021,  um tweet foi publicado relatando uma situação num hospital. Fizeram-nos chegar esse tweet e de imediato tentámos atestar da veracidade do mesmo.
Mostrar esta sequência",https://pbs.twimg.com/profile_images/1352248230596194305/icBs6aP4_mini.jpg,0,0,3
Val,@jt_cia,2021-01-26T23:59:44.000Z,Fica em casa trouxão! O Bill Gates vende o Teams e depois a vacina.,"Comentar o Tweet
Valor Econômico
@valoreconomico
 · 26 de jan
Lucro da Microsoft cresce 32% no quarto trimestre
https://valor.globo.com/empresas/noticia/2021/01/26/lucro-da-microsoft-cresce-32percent-no-4o-trimestre.ghtml…",https://pbs.twimg.com/profile_images/808404276158545920/_IIpS4I2_mini.jpg,1,3,9
Vinícius Moura,@VinicsMoura,2021-01-26T23:55:58.000Z,"Kamen Rider!

Pelo o que falaram, amanhã tem novidade de coisa moderna. Fico na expectativa do Blue Period que tem cara de NewPOP.","Comentar o Tweet
Chuva de Nanquim
@Chu_Nan
 · 26 de jan
Gostaram da premissa do selo Xogum? Qual anúncio de hoje da #NewPOPWEEK foi o seu favorito? 

E por último: o que esperam para amanhã?",https://pbs.twimg.com/profile_images/1230189640847589377/US_XDQr__mini.jpg,0,1,4
Yuri,@Yuri_m_antunes,2021-01-26T23:55:53.000Z,"Um ex presidente da República e o presidente da câmara articulam a vinda de insumos para a vacinação do Brasil. O Governo do 
@jairbolsonaro
 acabou já. #RenunciaBolsonaro que fica menos feio. #ImpeachmentDeBolsonaroUrgente","Comentar o Tweet
Folha de S.Paulo
@folha
 · 26 de jan
Nove ex-ministros do Meio Ambiente pedem que europeus ajudem na pandemia na Amazônia https://www1.folha.uol.com.br/ambiente/2021/01/nove-ex-ministros-do-meio-ambiente-pedem-que-europeus-ajudem-na-pandemia-na-amazonia.shtml?utm_source=twitter&utm_medium=social&utm_campaign=twfolha…",https://pbs.twimg.com/profile_images/1345853289787748353/Y8fxdwVz_mini.png,0,1,2
Inter de Milão Deprê,@InterDyLimao,2021-01-26T23:52:57.000Z,"eu ia dizer que esse foi o Handanovic no segundo tempo

mas foi assim o jogo todo
e isso não é um elogio

Braço de jacaré do caralho
não pula em uma bola",,https://pbs.twimg.com/media/EsskE_EXUAMg7W2?format=jpg&name=900x900,3,1,39
Bianca Colombari,@b1ancap,2021-01-26T23:46:43.000Z,"Boa noite!

Preciso da força de vocês, ainda muitos dos espectadores assistem meus vídeos e não são inscritos, não curtem, não comentam para dar engajamento.
Se inscreva, curta, comente e compartilhe <3
#ancap #anarcocapitalismo #libertarianismo #libertarian #TaxationIsTheft","Comentar o Tweet
Bianca Colombari
@b1ancap
 · 24 de out de 2020
O vídeo sobre COMO CONHECI O LIBERTARIANISMO já está no ar. Não se esqueça de conferir, curtir, se inscrever no meu canal e principalmente deixar nos comentários como vocês conheceram o libertarianismo, também! Fortalece aí com seu RT 
Mostrar esta sequência",https://pbs.twimg.com/media/EsshL8VXEAAXrQ7?format=png&name=small,2,10,28
Corpo de Bombeiros Militar de Ituporanga,@cbmscituporanga,2021-01-26T23:51:24.000Z,"  Mais bombeiros vacinados contra a Covid-19! Agora em Araranguá. 

Em parceria com a @prefeituraararangua bombeiros militares, que atuam em ocorrências na #ambulância no município, receberam a primeira dose do imunizante. 
 #CBMSC #Ararangua #Covid19 #coronavírus",,https://pbs.twimg.com/media/EssjtuJW4AAMHOG?format=jpg&name=360x360,0,0,3
gus,@somentegus,2021-01-26T23:53:59.000Z,*receberam a primeira dose da vacina contra a Covid-19,"Comentar o Tweet
Jornal do Comércio
@JC_RS
 · 26 de jan
#Saúde: Mais de 93,4 mil gaúchos dos grupos prioritários já estão imunizados contra a Covid-19

https://jornaldocomercio.com/_conteudo/especiais/coronavirus/2021/01/776125-mais-de-93-4-mil-gauchos-dos-grupos-prioritarios-ja-estao-imunizados-contra-a-covid-19.html…",https://pbs.twimg.com/profile_images/1261315720710938626/5PLeGy4P_mini.jpg,0,0,2
"Rah
¬¬",@rahnandes9,2021-01-26T23:56:38.000Z,"Se não fosse o Dória,a vacina não teria aqui. #JornalNacional #JN
Agora quero ver vc criticando os milhoes de reais q foram gastos com leite condensado,chicletes.....esses alimentos inúteis invés gastar com as vacinas e os cilindros de oxigênio.","Comentar o Tweet
Kadu
@equipa
 · 26 de jan
CHUPA DORIA !!!! CHUPA GLOBOLIXO!!! CHUPA NHONHO !!! LOUCO P COLOCAR EM GUERRA A CHINA E O GOVERNO FEDERAL P FODER TODO O POVO BRASILEIRO!!! Hienas desgraçadas !!!SÓ TOMAM NA CABEÇA SEMPRE #jornalnacional",https://pbs.twimg.com/profile_images/897425919589134340/LuK7ubaE_mini.jpg,1,0,3
Correio do Povo,@correio_dopovo,2021-01-26T23:57:33.000Z,Argentina envia avião para buscar na Rússia terceira remessa de vacinas Sputnik V http://bit.ly/3qSXxIz,,https://pbs.twimg.com/media/EsslHWuW8AYtn9v?format=jpg&name=small,0,4,27
Amandinha,@marinaruymaciel,2021-01-26T23:55:39.000Z,A tia da minha irmã disse que a vacina contra covid tem RESTO DE ABORTO. Será que fica caro pra jogar essa mulher no lago sem colete salva vidas? Só fala bobagem! ,,https://pbs.twimg.com/media/EssksLpW4AIR2ga?format=jpg&name=small,11,0,13
Mongrel Goddess,@mongreloutsider,2021-01-26T23:55:30.000Z,"Duas coisas:
*dinheiro não vem de Epson e o governo não tem capacidade de comprar/distribuir tudo 
*vacinação não é jogo de soma zero. Cada pessoa vacinada deixa dr infectar outras tantas, protegendo a todos.","Comentar o Tweet
Mariana Varella
@marivarella
 · 26 de jan
Ñ haverá vacinas disponíveis p/ todos este ano. Se um funcionário de uma empresa privada, jovem e  sem comorbidades tomar uma vacina agora, significa q alguem dos grupos prioritários deixou de tomar. Além de imoral, compromete a estratégia de vacinação.",https://pbs.twimg.com/profile_images/1326610018641317895/4fBcRmMU_mini.jpg,1,0,6
