Apelido,Username,Data/Hora,Respondendo,Texto,link_img,Comentarios,Retweets,Likes
Jackeline Rodrigues,@jacke_rsa,2021-01-19T03:27:42.000Z,"Eis que me deparo com tamanho absurdo no meu facebook. É claro que fiz uma redação nota mil do enem como resposta 
 Se uma pessoa contra a vacina ver isso e resolver se vacinar, já vale o arrependimento que vou acordar amanhã xD",,https://pbs.twimg.com/media/EsEIfYWXIAAajlY?format=jpg&name=360x360,1,,
Patrick Silva,@DePatrickSilva,2021-01-19T03:27:29.000Z,"Em resposta a 
@Jouberth19",Vacina precoce? ,https://abs-0.twimg.com/emoji/v2/svg/1f602.svg,,,
Fernando Eifler,@FernandoEifler,2021-01-19T03:27:20.000Z,"Em resposta a 
@scartonnetwork","Absurdo demais vocês não se encaixarem como profissionais da saúde pra ter prioridade na vacina. Inaceitável, farmacêutico seria o que então? Piada. Mas ainda assim é realmente uma puta notícia, finalmente habemus vacina ",https://abs-0.twimg.com/emoji/v2/svg/1f499.svg,,,
Luiz Guilherme Nazario Torres,@LuizGui02411813,2021-01-19T03:27:14.000Z,"Em resposta a 
@fabulosonerd",Eu vendo a biba comemorar a vacina e depois descobrir que vai ter que continua usando máscara e ficando em casa porque só tem 50% de eficácia. ,https://abs-0.twimg.com/emoji/v2/svg/1f923.svg,,,
y,@desytni,2021-01-19T03:27:05.000Z,sorte que a vacina do mironga nao saiu ainda felizmente estou infectado.,,https://pbs.twimg.com/media/EsEIQ0BXIAE2WMI?format=png&name=small,,,1
Pepe,@super_sappo,2021-01-19T03:26:57.000Z,Essa história de vacina é uma mera disputa política. Nunca foi pela saúde e bem estar dos brasileiros.,"Citar Tweet
Gil Diniz
@carteiroreaca
 · 6 h
Alguém tem dúvida que o Governador do Piauí está falando a verdade sobre João Doria?
1:19
14 mil visualizações",https://pbs.twimg.com/profile_images/1232499128581677056/ORfSmgUV_mini.jpg,,,1
Sputnik Brasil,@sputnik_brasil,2021-01-19T03:26:51.000Z,"Apesar de declarações otimistas do governo, o Brasil pode ""ficar no fim da fila"" para receber as doses da vacina de Oxford produzida no laboratório Serum, na Índia, disse especialista à Sputnik Brasil","Vacina da Índia: ‘Há possibilidade do Brasil ficar no fim da fila’, alerta especialista
Apesar de declarações otimistas do governo, o Brasil pode ""ficar no fim da fila"" para receber as doses da vacina de Oxford produzida no laboratório Serum, na Índia...
br.sputniknews.com",https://pbs.twimg.com/card_img/1351370440279805955/J7jH2M9C?format=jpg&name=small,,1,3
Luana Borges,@borges_luana,2021-01-19T03:26:40.000Z,"Em resposta a 
@skol","Sair do planeta que nada! S de vontade de ""só quero vacina para só curtir Skol com as amigas depois"" ",https://abs-0.twimg.com/emoji/v2/svg/1f37b.svg,,,
ᴉqɐq,@spidersfromars,2021-01-19T03:26:30.000Z,depois da vacina estarei assim,,https://pbs.twimg.com/ext_tw_video_thumb/1351370300701683712/pu/img/NfTUkpsCTfJdj0S8.jpg,,,4
Lucca,@luccacidade,2021-01-19T03:26:22.000Z,'Vacina do Brasil'? Relembre vezes em que Bolsonaro criticou Coronavac,"Estadão
@Estadao
'Vacina do Brasil'? Relembre vezes em que Bolsonaro criticou Coronavac",https://pbs.twimg.com/media/EeNU2orWAAEp7T_?format=jpg&name=small,,,
