Apelido,Username,Data/Hora,Respondendo,Texto,link_img,Comentarios,Retweets,Likes
Belera •,@Belemito_,2021-01-19T01:56:23.000Z,"Aqui no trampo depois da vacina
#Coronavac",,https://pbs.twimg.com/media/EsDzmz5XIAMWLuB?format=jpg&name=small,,1,2
Agência Pública,@agenciapublica,2021-01-19T01:00:01.000Z,"Epidemiologista Ethel Maciel alerta: “Mesmo que tenhamos uma cobertura vacinal grande, ainda teremos que usar máscaras e continuar com as medidas de prevenção.”","Ethel Maciel: ""Vai estourar em outros estados” e vacina da Covid-19 é a “melhor estratégia"" para...
Para epidemiologista, o que acontece primeiro em Manaus acontece no resto do Brasil; “A pergunta que não quer calar é: quais os estoques de oxigênio dos outros estados? A gente está preparado?”
apublica.org",https://pbs.twimg.com/card_img/1350106471921496066/gO12gfsn?format=png&name=small,,8,42
"ClaudioAthaydeBeringhs
15/03 Eu Vou",@ClaudioBeringhs,2021-01-19T00:59:46.000Z,"Já começaram a culpar o Presidente Bolsonaro por possíveis efeitos colaterais da vacina? Ou ainda tá cedo pra isso?

#QueroBolsonaroAte2026
Sobre Manaus ","De 
ClaudioAthaydeBeringhs
15/03 Eu Vou",https://pbs.twimg.com/ext_tw_video_thumb/1351309654807236611/pu/img/F0rysXu3F0w0Lm4T.jpg,2,26,30
Vem Vacina,@jamilllynobre,2021-01-19T01:03:40.000Z,"Entre mortos e feridos, salvaram-se os melhores 
#FinalAmorSemIgual",,https://pbs.twimg.com/media/EsDnipSXcAUFWxX?format=jpg&name=small,,1,8
Alessandrine - VACINA JÁ !,@alessandrinepon,2021-01-19T02:39:19.000Z,"#amazonaspelavida |
Doe para grupos das periferias de Manaus
http://apoia.se/amazonaspelavida…

Associação Difusão Amazonas
CNPJ: 011.100.697/0001-99
Banco: Caixa Econômica Federal
Agência: 2987
Conta Corrente: 1035-6
Operação: 003 - Conta Corrente de Pessoa Jurídica",,https://pbs.twimg.com/media/EsD9b3PXcAEZeEO?format=jpg&name=small,1,8,7
Débora,@Dbora07523181,2021-01-19T02:16:43.000Z,#QueremosImpeachment Eu na plenitude depois de tomar vacina só esperando o #ImpeachmentDeBolsonaro,,https://pbs.twimg.com/media/EsD4Q-5XIAAHIwn?format=jpg&name=240x240,,1,
Patrícia Gaffo,@PBGaffo,2021-01-19T00:35:33.000Z,"Em resposta a 
@nuncaparedeler
 @marivarella
 e 
@siqueira__andre","Acho que mesmo com vídeo não adianta. Na minha cidade tem um monte de gente falando que não vai tomar, que não é obrigado, que fizeram o uso do tal kit e que vão continuar a usar. Que tem comprovação científica. ",https://abs-0.twimg.com/emoji/v2/svg/1f631.svg,2,1,13
Heitor KD A VACINA MORE?,@lc_heitor,2021-01-19T01:48:55.000Z,A decadência de um ex-cantor fracassado #QueremosImpeachmeant,,https://pbs.twimg.com/media/EsDx5sIWMAMxOi8?format=jpg&name=small,,2,2
Suzanna Borba,@suzannaborba1,2021-01-19T01:10:49.000Z,É real! Meu País Pernambuco tem vacina! #Emocionada,,https://pbs.twimg.com/ext_tw_video_thumb/1351336169703940099/pu/img/jQVyuoGXRhdiuKOf.jpg,,,1
Igor Anjos,@pleasureigor,2021-01-19T02:35:43.000Z,Cadê a minha vacina?!,,https://pbs.twimg.com/media/EsD8nL5XAAAeFYu?format=jpg&name=900x900,,,
"ღJô Poubellღ
FICA EM",@JoPoubell,2021-01-19T01:21:07.000Z,"Aguardando essa vacina 
#QueremosImpeachment",,https://pbs.twimg.com/media/EsDrid2XcAceFf_?format=jpg&name=small,,9,24
𝙱𝚎𝚝𝚘,@oBetoSilva,2021-01-19T01:59:32.000Z,"O 
@Bettosp_71
 já está faturando com a vacina ",,https://pbs.twimg.com/media/EsD0VHqXMAI8YpY?format=jpg&name=small,1,,2
Secretaria da Saúde,@SES_RS,2021-01-19T02:40:31.000Z,"""A gente acredita nos nossos cientistas e nas nossas instituições de pesquisa"", frisou o governador #vacina #vacinacontraacovid19 #vacinadacovid19

Acompanhe em","Governo do Rio Grande do Sul
Canal oficial do Governo do Estado do Rio Grande do Sul. Visite nosso Portal: www.rs.gov.br, acompanhe e interaja também no Facebook: https://www.facebook.com/GovernodoRS e Twitter: https://twitter...
youtube.com",https://pbs.twimg.com/card_img/1349040482651922434/pSEBnXq0?format=jpg&name=240x240,,,5
Adee_Flores,@adeesantana,2021-01-19T01:56:44.000Z,"Aos puxadores de tag. Aos que tem relevância. Vamos chamar um panelaço pra amanhã, pra depois, pra todos os dias.
Não vamos deixar genocida se criar em cima da vacina que desdenhou.
#QueremosImpeachment",,https://pbs.twimg.com/media/EsDzsTQXMAM0wZ6?format=jpg&name=360x360,,1,3
Sturgs 213,@Sturgs2,2021-01-19T02:32:50.000Z,Obrigado Bolsonaro por me dar a vacina adiantado ,,https://pbs.twimg.com/media/EsD79CpXUAE7a7E?format=jpg&name=small,1,,1
"ALEXANDRE
Vem Vacina",@alexandrepontz,2021-01-19T02:33:18.000Z,Não aguento mais ver esse umbigo arregaçado que o menino usava pra sexo,,https://pbs.twimg.com/media/EsD8DzzXYAUtoDl?format=jpg&name=small,,,3
L. Sartori Molino VACINA JÁ!!,@lesarmol,2021-01-19T01:14:57.000Z,"Printem esse tuíte de 
@muylaerte
. Começa a circular (e não apenas em Brasília) a informação de que...","Citar Tweet
Muylaerte
@muylaerte
 · 2 h
ATENÇÃO! Caso Mandetta e Nelson Teich tenham sido coagidos a assinar protocolos governamentais recomendando cloroquina, e eles testemunhem neste sentido, o governo Bolsonaro acaba.",https://pbs.twimg.com/profile_images/564921482187272192/-iE8HIar_mini.jpeg,,1,9
Matuê aventureira,@Mait75261198,2021-01-19T02:01:06.000Z,"""Vacina com 50% de eficácia"" eu::;",,https://pbs.twimg.com/media/EsD0sK_XYAMijlK?format=jpg&name=small,,,
William Walace,@willwalacebr,2021-01-19T01:37:39.000Z,"Cristo Redentor com medo da vacina, orando novamente:
""Deus meu, Deus meu..
de novo?""",,https://pbs.twimg.com/media/EsDvUNeXcAATX1B?format=jpg&name=900x900,2,3,16
AlessahBR,@BolsonaroFiel38,2021-01-19T02:17:48.000Z,- RÁPIDO MIGA! TOMA LOGO ESSA VACINA PRA IR COMIGO NO BANHEIRO! TÔ APERTADA PRA FAZER XIXI. ...,,https://pbs.twimg.com/media/EsD4R4eXMAES1dX?format=png&name=small,1,2,6
Mauricio Nardi Jr,@MauricioNardiJ5,2021-01-19T01:47:29.000Z,"Quem foi o único presidente, no mundo inteiro, a NÃO comemorar o início da vacinação? Quem seria tão CANALHA assim?!
Vou dar uma dica. Ele começou a frase assim:
 ""Apesar da vacina...",,https://pbs.twimg.com/media/EsDxkt1XYAAmFNg?format=jpg&name=small,,1,8
genilson,@genilsons753qw,2021-01-19T01:44:23.000Z,"#QueremosImpeachment
Já tô com alucinações kkkk 
Ñ vejo a hora de tomar essa vacina",,https://pbs.twimg.com/ext_tw_video_thumb/1351344708610625536/pu/img/Fdw-XxV5yAH1AkOj.jpg,,4,9
Samuel Erick,@samuel_erick_14,2021-01-19T02:04:14.000Z,"Hmmmmmmm 
.... achei q quem tinha politizado a vacina fosse o 
@jairbolsonaro
... mas já vi que não....

 (#QueroBolsonaroAte2026)",,https://pbs.twimg.com/ext_tw_video_thumb/1351349589320863750/pu/img/9lZLKvX8j0Qv_Pw7.jpg,,9,10
