Apelido,Username,Data/Hora,Respondendo,Texto,link_img,Comentarios,Retweets,Likes
Prefeitura do Natal,@NatalPrefeitura,2021-01-19T23:56:34.000Z," A campanha de vacinação em Natal começa nesta quarta (20) e contará com 4 pontos de aplicação no sistema de drive-thru: Ginásio Nélio Dias, Palácio dos Esportes, Shopping Via Direta e Arena das Dunas. A vacinação será de segunda a quinta-feira, das 8h às 16h.⁣",,https://pbs.twimg.com/media/EsIhxhEW8AYFnJH?format=jpg&name=360x360,5,4,16
Zilá Fusaro⚘,@FusaroZila,2021-01-19T23:54:37.000Z,"Quem são as pessoas que não podem tomar vacina contra covid https://agoranoticiasbrasil.com.br/quem-sao-as-pessoas-que-nao-podem-tomar-vacina-contra-covid/…  
@agoranoticiasbr","Quem são as pessoas que não podem tomar vacina contra covid - Agora Notícias Brasil
Com o início da campanha de vacinação contra a covid-19 no Brasil, milhões de brasileiros serão imunizados nos próximos meses. Mas alguns grupos não poderão receber doses neste primeiro momento. O...
agoranoticiasbrasil.com.br",https://pbs.twimg.com/card_img/1362028944187412484/O6WPd0DV?format=jpg&name=small,,5,9
Rádio Guaíba,@RdGuaibaOficial,2021-01-19T23:54:50.000Z,Idosa de 92 anos é a primeira moradora de Instituição de Longa Permanência a receber vacina na Capital - https://guaiba.com.br/2021/01/19/idosa-de-92-anos-e-a-primeira-moradora-de-instituicao-de-longa-permanencia-a-receber-vacina-na-capital/…,,https://pbs.twimg.com/media/EsIhYYRW8AIyYVv?format=jpg&name=small,1,1,6
"Ethel Maciel, PhD - #TodosPelasVacinas",@EthelMaciel,2021-01-19T23:59:13.000Z,"Foi um prazer conversar com 
@felipekhoury
. Vem vacina","Comentar o Tweet
Khoury
@felipekhoury
 · 19 de jan
E hoje conversei com a Dra. e epidemiologista @EthelMaciel 

Falamos de algumas questões sobre processo de vacinação no ES e no Brasil. 

Entrevista esclarecedora! Confira:  
 https://youtu.be/jUhyk50t3-U",https://pbs.twimg.com/profile_images/1339002150903537666/4kcAu8Fm_mini.jpg,1,4,23
Claudio Dantas,@claudioedantas,2021-01-20T20:37:53.000Z,Número 2 da Saúde diz que ministério nunca “criou dificuldades para obtenção de vacinas” e anuncia campanha publicitária,"Número 2 da Saúde diz que ministério nunca ""criou dificuldades para obtenção de vacinas"" e anuncia...
Na reunião fechada com a comissão da Covid, o secretário-executivo do Ministério da Saúde, Elcio Franco, disse que a gestão de Eduardo Pazuello ""em momento algum tem criado dificuldade para a...
oantagonista.com",https://pbs.twimg.com/card_img/1362423684963696646/O06rB52i?format=jpg&name=small,56,24,94
Plantão JF,@OcorrenciasJF,2021-01-20T23:57:26.000Z,"Essa vovozinha é a Dona Hilda Cândida, de 108 anos. Mora em Rio das Flores. Ela seria a primeira pessoa a tomar a vacina lá, mas preferiu ""dar a oportunidade para alguém mais novo, que possa viver mais"". Segundo ela, a generosidade é um dos valores mais importantes do ser-humano.",,https://pbs.twimg.com/media/EsNrkPTXIAMl4Eu?format=jpg&name=small,23,160,"1,1 mil"
Patriotas,@PATRlOTAS,2021-01-20T23:52:48.000Z,Justiça nega pedido do PT para derrubar sigilo do cartão de vacinação de Bolsonaro.,"Justiça nega pedido do PT para derrubar sigilo do cartão de vacinação de Bolsonaro
Justiça nega pedido do PT para derrubar sigilo do cartão de vacinação de Bolsonaro
gazetabrasil.com.br",https://pbs.twimg.com/card_img/1362444726205640709/_lvETMQU?format=jpg&name=small,26,153,921
Blog do Noblat,@BlogdoNoblat,2021-01-20T23:55:52.000Z,"Sem insumos, produção de vacina contra covid no Butantan está parada https://noticias.uol.com.br/saude/ultimas-noticias/redacao/2021/01/20/sem-insumos-producao-para-vacinas-no-butantan-esta-parada-desde-domingo.htm… 
@UOLNoticias
 #UOL","Sem insumos, produção da CoronaVac no Butantan está parada desde domingo
O Instituto Butantan já envasou todo insumo disponível no momento para a fabricação da Cor...
noticias.uol.com.br",https://pbs.twimg.com/card_img/1362142451721506816/m1mQKq0D?format=jpg&name=small,12,37,177
Jornal Nacional,@jornalnacional,2021-01-20T23:57:41.000Z,"Em uma cerimônia sem presença de público por causa da pandemia, o novo presidente dos Estados Unidos prometeu recuperar a economia, controlar o coronavírus e unificar o país. Kamala Harris se torna a primeira vice-presidente da história americana: https://glo.bo/2KCciQC #JN","Joe Biden assume a presidência dos EUA e diz que a democracia prevaleceu
Em uma cerimônia sem presença de público por causa da pandemia, o novo presidente dos Estados Unidos prometeu recuperar a economia, controlar o coronavírus e unificar o país. Kamala Harris se torna a...
g1.globo.com",https://pbs.twimg.com/card_img/1362215950720913410/s56CXkr7?format=jpg&name=small,14,9,129
Luiz Dakombosa,@dakombosa,2021-01-20T23:54:23.000Z,"Mas que coisa né? Tem um buraco negro no AM?
Some tudo lá! Verba, oxigênio, vacina, o governador...
Que mistério é esse?","Comentar o Tweet
Pαυℓα2αg
@paula2ag
 · 20 de jan
Cadê o @MPF_PGR  ? Os iluminados @LRobertoBarroso @gilmarmendes vão culpar @jairbolsonaro nessa também?

@policiafederal twitter.com/paulomathias/s…",https://pbs.twimg.com/profile_images/1347761812914270208/kuToOZsy_mini.jpg,,3,9
