Apelido,Username,Data/Hora,Respondendo,Texto,link_img,Comentarios,Retweets,Likes
UOL,@UOL,2021-02-15T23:47:32.000Z,Bolsonaro diz que tem 'cheque de R$ 20 bilhões' para comprar vacina mas que produto está em falta,"Bolsonaro diz que tem 'cheque de R$ 20 bilhões' para comprar vacina mas que produto está em falta -...
Governo sofre pressão para ampliar oferta e evitar suspensão da imunização contra a Covid-19
folha.uol.com.br",https://pbs.twimg.com/card_img/1361461300778455042/q3pLleqM?format=jpg&name=small,69,23,80
zat,@zattaun,2021-02-15T23:23:56.000Z,Isso aqui é uma sereia moderna ? Kkkk,"De 
A+ÚNICA",https://pbs.twimg.com/ext_tw_video_thumb/1361454416306569218/pu/img/usTfAPXjT3npz76M.jpg,,,
Auxilio$600ja,@A600ja,2021-02-15T23:17:32.000Z,"Arma não alimenta ninguém,a não ser a violência, o que queremos é a vacina e o auxílio emergêncial para que possamos ter um pouco de dignidade e podermos voltar a vida normal aos poucos. #VacinaParaTodosJa #auxilioemergencial2021",,https://pbs.twimg.com/media/EuTbxOdXEAQUVuH?format=jpg&name=small,,,2
Rodrigo Ferraz,@rpferraz,2021-02-15T22:59:53.000Z,"...Na terra do Rei Bobo e seus Bobomínions.....

#Bolsonaro #Vacina #COVID19",,https://pbs.twimg.com/media/EuTXiRMWgAEc1IQ?format=jpg&name=medium,,,
Coach Alex Pussieldi,@alexpussieldi,2021-02-15T23:51:47.000Z,E a esperança... a vacinação!,,https://pbs.twimg.com/media/EuTjl-KXYAUaP3c?format=jpg&name=small,,,
Roh,@nanimerlo,2021-02-15T22:18:20.000Z,"Não importa a idade, queremos viver! E queremos nossos pais aqui, sempre!
Viva a vacina! Viva o SUS!",,https://pbs.twimg.com/media/EuTON8WWgAApME_?format=jpg&name=medium,,,
Portal NE10,@portalne10,2021-02-15T21:52:45.000Z,O médico oncologista Drauzio Varella recebeu o imunizante nesta segunda-feira (15) ,"Médico Drauzio Varella recebe vacina contra a covid-19
O médico oncologista Drauzio Varella recebeu o imunizante nesta segunda-feira (15)
radiojornal.ne10.uol.com.br",https://pbs.twimg.com/card_img/1361432995735953411/eAncnk6i?format=jpg&name=small,3,,19
#BOLSORINGAATÉ2026,@OmarBatistaDeM1,2021-02-15T22:19:00.000Z,Não sei qual é a graça de tomar uma vacina que segundo a OMS não imuniza ninguém.,,https://pbs.twimg.com/media/EuTOXv0XEAEq93a?format=jpg&name=small,,,
mundinho sarah espiã,@Mbntt_,2021-02-15T23:38:42.000Z,QUAL A PORRA DO SEU PROBLEMA CARALHO???????????????????????????? investe em vacina que já ta comprovado FILHO DA PUTA DESGRAÇADO,"Comentar o Tweet
Jair M. Bolsonaro
@jairbolsonaro
 · 15 de fev
- EXO-CD24 é um spray nasal desenvolvido pelo Centro Médico Ichilov de Israel, com eficácia próxima de 100% (29/30), em casos graves, contra a Covid.

- Brevemente será enviado à ANVISA o pedido de análise para uso emergencial do medicamento.",https://pbs.twimg.com/profile_images/1057631480459886595/9VPdGJJz_mini.jpg,,,2
RCN Mundo,@rcnmundo,2021-02-15T22:50:32.000Z,Nos enorgullece poder suministrar las primeras dosis a Colombia: Pfizer https://lafm.com.co/colombia/nos-enorgullece-poder-suministrar-las-primeras-dosis-colombia-pfizer?utm_source=dlvr.it&utm_medium=twitter…,,https://pbs.twimg.com/media/EuTVltqVoAAx_qN?format=jpg&name=small,,1,
Ale Testa,@alexandretessta,2021-02-15T23:31:35.000Z,"Em resposta a 
@RosiReim
 @giovanadantas17
 e mais 2","A única coisa que esse seu twitte mostra eh que vc realmente não sabe absolutamente nadaaaaaaa sobre Universidades Públicas.
Ta cheio de exemplos, eh só ter um tiquinho de boa vontade e fazer uma pesquisa.
Mas vou te ajudar com essa aqui ",https://abs-0.twimg.com/emoji/v2/72x72/1f447.png,3,,4
